,gamma,v,tau,s
0,4.979554802096561,8.318538352245367,7.785853931313662,15.629310650141305
1,6.98703362646124,17.15668391781608,21.820910432800776,26.11422939491038
2,7.595718126181219,9.242555170293357,6.272830194533719,10.747109811150013
3,24.788681294376705,7.992378447213109,11.012336038953649,26.31529550106914
4,8.153437778272238,8.908524980039443,19.774376865960942,28.270775911375743
5,15.522435037282866,7.471950388584025,11.518789781828875,11.500140755545265
6,16.43750311018525,17.248115536388124,19.28577594926987,34.679353139537284
7,21.340958415908887,7.527139735670814,8.175543068812813,9.079810366437865
8,19.207144290650458,8.944015587294844,8.718287838229392,9.3373143272416
9,10.489565488867425,6.430077906438145,5.843271721993356,30.57558352866474
10,7.457205568100888,5.388315427317453,10.79314890018179,12.08661699210313
11,10.594239087447816,7.499976772450193,10.120281346213046,7.011257369486861
12,8.494761876929497,6.101901005247947,6.998893089561895,4.7039409368564495
13,6.971056465427365,7.208282566733315,10.801006523524356,25.711555995951525
14,17.549522306293685,10.460738394932557,9.532189220889572,22.57622573282718
15,7.599106232744825,16.223189161537825,9.18468219624878,16.951878735377388
16,21.313903955335775,18.79612733173775,11.161740062384867,63.318204122764364
17,13.552022054738941,13.577385831547375,11.267331374272235,59.03248776147432
18,9.774889544101391,12.679879751455633,6.410284339788404,33.4981900019295
19,6.674954147206127,9.877512249787783,12.742050652812317,16.36451357149388
20,7.872078976735577,7.710853462285961,8.405185342832864,11.197147778784538
21,14.663114830259126,30.34148167633694,16.222897485444857,70.95971606701664
22,10.750889747785774,6.2438205982363835,11.298228712778586,11.908603376336728
23,7.652832415176932,10.826819555054952,11.092685529078262,14.993390994108879
24,11.32566107742907,14.491743794724906,15.025963392002543,16.835687325319732
25,13.24515101590655,16.89236282878132,8.355400196268516,22.14707329011035
26,16.452763816252848,5.656507961619138,8.863667382488801,6.6605045643229195
27,5.462093675571522,6.956698151448531,37.88833129830172,9.693606285178335
28,6.248341290114428,10.469193480259026,11.796359223660525,8.706461662883044
29,11.723354353514276,8.500086409663577,13.734700073132215,9.966344850249143
30,11.976735599357736,12.207620320750019,7.070985644920424,8.889512847613826
31,5.891280328633077,33.7727073249595,34.49980035230252,103.52427792705495
